FET Vds-Id
VDS= 0 to 2 in 0.05 step
VG= 0 to 2 in 0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
1 0 0 0 3E-14 7E-14 -7.9E-13 4.3E-13 0
2 0 0.05 0 0 1.37E-12 1.33E-12 8.8E-13 0
3 0 0.1 0 2.4E-13 1.7E-12 6.7E-13 5.9E-13 0
4 0 0.15 0 2.8E-13 -2.2E-12 -1.38E-12 4.2E-13 0
5 0 0.2 0 1.9E-13 1.4E-13 1.09E-12 5.6E-13 0
6 0 0.25 0 3.5E-13 2.5E-13 -6.7E-13 1.9E-13 0
7 0 0.3 0 6E-13 -1E-14 -8.3E-13 -1E-14 0
8 0 0.35 0 9.6E-13 -1.91E-12 -1.9E-12 -1.7E-13 0
9 0 0.4 0 2E-12 2.27E-12 1.46E-12 -9.5E-13 0
10 0 0.45 0 3.65E-12 5.7E-13 1.5E-12 -2.77E-12 0
11 0 0.5 0 7.21E-12 2.43E-12 1.19E-12 -5.94E-12 0
12 0 0.55 0 1.497E-11 -1.1E-12 4.8E-13 -1.364E-11 0
13 0 0.6 0 3.119E-11 3.1E-13 -2.6E-13 -3.056E-11 0
14 0 0.65 0 6.836E-11 -2.92E-12 -3.24E-12 -6.771E-11 0
15 0 0.7 0 1.4951E-10 1.47E-12 7.5E-13 -1.4906E-10 0
16 0 0.75 0 3.2867E-10 3.99E-12 3.71E-12 -3.2687E-10 0
17 0 0.8 0 7.118E-10 1.72E-12 -4.6E-13 -7.0781E-10 0
18 0 0.85 0 1.52388E-09 3.25E-12 2.7E-12 -1.5071E-09 0
19 0 0.9 0 3.14618E-09 1E-12 -4.4E-13 -3.09432E-09 0
20 0 0.95 0 6.19123E-09 -2.2E-13 -1.47E-12 -6.07071E-09 0
21 0 1 0 1.14292E-08 5.5E-13 9.1E-13 -1.12564E-08 0
22 0 1.05 0 2.05399E-08 -3.13E-12 -2.82E-12 -2.00164E-08 0
23 0 1.1 0 3.47684E-08 -1.01E-12 -1.7E-13 -3.36851E-08 0
24 0 1.15 0 5.52112E-08 2.29E-12 1.32E-12 -5.39581E-08 0
25 0 1.2 0 8.40493E-08 -8E-14 -1.1E-13 -8.21936E-08 0
26 0 1.25 0 1.19929E-07 -4.7E-13 4.8E-13 -1.16782E-07 0
27 0 1.3 0 1.69657E-07 5.6E-13 8E-14 -1.65968E-07 0
28 0 1.35 0 2.35374E-07 -1.3E-13 -4.7E-13 -2.29996E-07 0
29 0 1.4 0 3.20282E-07 -1.4E-13 1.42E-12 -3.13489E-07 0
30 0 1.45 0 4.29967E-07 -1.38E-12 -7.5E-13 -4.17289E-07 0
31 0 1.5 0 5.65966E-07 -1.34E-12 -1.62E-12 -5.55144E-07 0
32 0 1.55 0 7.4687E-07 -8.9E-13 3.6E-13 -7.28984E-07 0
33 0 1.6 0 9.74859E-07 -8.6E-13 -5.3E-13 -9.48369E-07 0
34 0 1.65 0 1.19923E-06 -2.36E-12 -1.35E-12 -1.15946E-06 0
35 0 1.7 0 1.532E-06 -1.69E-12 -1.37E-12 -1.50264E-06 0
36 0 1.75 0 1.96395E-06 -1.1E-13 -2.9E-13 -1.91035E-06 0
37 0 1.8 0 2.47511E-06 -7.9E-13 -9.7E-13 -2.41088E-06 0
38 0 1.85 0 3.08815E-06 -2.97E-12 -7.4E-13 -2.99095E-06 0
39 0 1.9 0 3.79981E-06 -4.2E-13 2E-14 -3.69013E-06 0
40 0 1.95 0 4.64626E-06 2.5E-13 1.6E-13 -4.49786E-06 0
41 0 2 0 5.59873E-06 1.42E-12 3.73E-12 -5.40973E-06 0
42 0 2 0 5.36037E-06 -3.46E-12 -1.75E-12 -5.23845E-06 0
43 0 1.95 0 4.11592E-06 -6.02E-12 -4.97E-12 -4.07693E-06 0
44 0 1.9 0 3.17563E-06 2.35E-12 1.01E-12 -3.15466E-06 0
45 0 1.85 0 2.43019E-06 7.9E-13 1.42E-12 -2.42705E-06 0
46 0 1.8 0 1.84958E-06 -7E-14 1.87E-12 -1.84598E-06 0
47 0 1.75 0 1.39297E-06 -1.23E-12 -1.86E-12 -1.39658E-06 0
48 0 1.7 0 1.03868E-06 9.4E-13 -9E-14 -1.04293E-06 0
49 0 1.65 0 7.65844E-07 -2.06E-12 8.6E-13 -7.70738E-07 0
50 0 1.6 0 5.60437E-07 1.02E-12 2.35E-12 -5.63945E-07 0
51 0 1.55 0 4.05013E-07 -7.91E-12 -6.51E-12 -4.0711E-07 0
52 0 1.5 0 2.83516E-07 2.28E-12 -3.2E-13 -2.84899E-07 0
53 0 1.45 0 1.98772E-07 3.13E-12 5.55E-12 -1.99862E-07 0
54 0 1.4 0 1.36654E-07 -1.76E-12 -1.18E-12 -1.37919E-07 0
55 0 1.35 0 9.20329E-08 -1.86E-12 -2.06E-12 -9.24646E-08 0
56 0 1.3 0 5.97073E-08 1.4E-13 5E-13 -6.01546E-08 0
57 0 1.25 0 3.75671E-08 -1.85E-12 -1.27E-12 -3.79481E-08 0
58 0 1.2 0 2.28387E-08 1.14E-12 -2.81E-12 -2.30432E-08 0
59 0 1.15 0 1.34418E-08 3.9E-13 8.3E-13 -1.35784E-08 0
60 0 1.1 0 7.7721E-09 2.7E-13 5E-13 -7.85252E-09 0
61 0 1.05 0 4.34804E-09 -1.6E-12 -4E-13 -4.38522E-09 0
62 0 1 0 2.38765E-09 -4.1E-13 1.2E-13 -2.40466E-09 0
63 0 0.95 0 1.30126E-09 -1.31E-12 -8E-14 -1.30644E-09 0
64 0 0.9 0 7.0008E-10 -3.79E-12 -3.49E-12 -7.0518E-10 0
65 0 0.85 0 3.8123E-10 -2.57E-12 -3.18E-12 -3.8199E-10 0
66 0 0.8 0 2.0796E-10 -1.4E-12 -1.76E-12 -2.0693E-10 0
67 0 0.75 0 1.1241E-10 -9.8E-13 -1.1E-13 -1.1172E-10 0
68 0 0.7 0 6.026E-11 5E-13 8.1E-13 -5.924E-11 0
69 0 0.65 0 3.192E-11 -7.5E-13 -1.7E-13 -3.105E-11 0
70 0 0.6 0 1.69E-11 1.3E-13 -2.1E-13 -1.611E-11 0
71 0 0.55 0 8.85E-12 -1.3E-12 -8.3E-13 -8.19E-12 0
72 0 0.5 0 4.73E-12 -1.9E-13 -5.1E-13 -4.12E-12 0
73 0 0.45 0 2.46E-12 3.7E-13 9.1E-13 -1.82E-12 0
74 0 0.4 0 1.39E-12 -3.4E-13 -5.1E-13 -5.9E-13 0
75 0 0.35 0 8.5E-13 1.13E-12 2.55E-12 -2.3E-13 0
76 0 0.3 0 2.2E-13 -1.41E-12 -1.52E-12 1.5E-13 0
77 0 0.25 0 1.7E-13 1.95E-12 1.15E-12 5.4E-13 0
78 0 0.2 0 7E-14 -2.35E-12 -2.65E-12 4.4E-13 0
79 0 0.15 0 -2E-14 1.29E-12 4.3E-13 5.3E-13 0
80 0 0.1 0 -1E-14 -1.62E-12 -1.22E-12 7.3E-13 0
81 0 0.05 0 1E-14 2.7E-13 3.3E-13 7.3E-13 0
82 0 0 0 -1.2E-13 -2.8E-12 -1.43E-12 8.5E-13 0
83 0.5 0 0 -1.2E-13 -2.61E-12 6.03E-12 8.2E-13 0
84 0.5 0.05 0 3E-14 -2.88E-12 8.2E-13 1.12E-12 0
85 0.5 0.1 0 2E-14 2E-14 3.12E-12 9.1E-13 0
86 0.5 0.15 0 8E-14 -6.8E-13 7.3E-13 8.2E-13 0
87 0.5 0.2 0 1.4E-13 1.49E-12 2.54E-12 9.6E-13 0
88 0.5 0.25 0 -6E-14 -2.75E-12 -6.8E-13 8.8E-13 0
89 0.5 0.3 0 2.8E-13 1.71E-12 2.28E-12 9.2E-13 0
90 0.5 0.35 0 4.7E-13 1.84E-12 7.8E-13 7.4E-13 0
91 0.5 0.4 0 -7E-14 -4.2E-13 -8E-14 9.1E-13 0
92 0.5 0.45 0 1.4E-13 -1.33E-12 5.4E-13 8.6E-13 0
93 0.5 0.5 0 4E-14 1.58E-12 2.28E-12 9E-13 0
94 0.5 0.55 0 3.3E-13 -3.7E-12 -2.08E-12 9.8E-13 0
95 0.5 0.6 0 3.4E-13 6.1E-13 2.78E-12 9.5E-13 0
96 0.5 0.65 0 3.9E-13 9.3E-13 1.46E-12 8.1E-13 0
97 0.5 0.7 0 4.1E-13 -5E-14 1E-12 7.2E-13 0
98 0.5 0.75 0 3.9E-13 -1.83E-12 -1.65E-12 4.8E-13 0
99 0.5 0.8 0 8.5E-13 2.04E-12 3.58E-12 4.6E-13 0
100 0.5 0.85 0 9E-13 -2.64E-12 -1.98E-12 2.1E-13 0
101 0.5 0.9 0 1.35E-12 -1.1E-12 5.8E-13 -3.1E-13 0
102 0.5 0.95 0 2.51E-12 -7.2E-13 -2.3E-13 -1.32E-12 0
103 0.5 1 0 4.62E-12 -1.05E-12 -6.8E-13 -3.45E-12 0
104 0.5 1.05 0 8.67E-12 -1.28E-12 3E-14 -7.49E-12 0
105 0.5 1.1 0 1.691E-11 1.03E-12 2.11E-12 -1.561E-11 0
