FET Vds-Id
VG= 0 to 2 in 0.02 step
VDS= 0.05 to 0.5 in 0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 0.05 1.1E-13 -1.08E-12 0
2 0.02 0.05 -1.2E-13 -1.1E-13 0
3 0.04 0.05 8E-14 2.69E-12 0
4 0.06 0.05 6E-14 3.24E-12 0
5 0.08 0.05 -6E-14 2.02E-12 0
6 0.1 0.05 2.9E-13 8E-14 0
7 0.12 0.05 -1.2E-13 1.6E-13 0
8 0.14 0.05 1.2E-13 3E-12 0
9 0.16 0.05 7E-14 2.58E-12 0
10 0.18 0.05 9E-14 1.84E-12 0
11 0.2 0.05 2.5E-13 2.89E-12 0
12 0.22 0.05 -4E-14 2.18E-12 0
13 0.24 0.05 5E-14 3.05E-12 0
14 0.26 0.05 -4E-14 2.73E-12 0
15 0.28 0.05 1.4E-13 1.6E-12 0
16 0.3 0.05 -1E-14 1.77E-12 0
17 0.32 0.05 2E-14 3.34E-12 0
18 0.34 0.05 -8E-14 3.67E-12 0
19 0.36 0.05 4E-14 3.78E-12 0
20 0.38 0.05 1E-14 2.85E-12 0
21 0.4 0.05 1.7E-13 2.75E-12 0
22 0.42 0.05 1.3E-13 8.2E-13 0
23 0.44 0.05 2.4E-13 3.3E-12 0
24 0.46 0.05 1.6E-13 3.73E-12 0
25 0.48 0.05 6E-14 3.93E-12 0
26 0.5 0.05 1.2E-13 3.41E-12 0
27 0.52 0.05 9E-14 3.18E-12 0
28 0.54 0.05 5E-14 2.97E-12 0
29 0.56 0.05 2E-14 3.9E-12 0
30 0.58 0.05 4E-14 4.08E-12 0
31 0.6 0.05 1.6E-13 2.77E-12 0
32 0.62 0.05 5E-14 1.99E-12 0
33 0.64 0.05 1.1E-13 1.16E-12 0
34 0.66 0.05 2.6E-13 4.42E-12 0
35 0.68 0.05 7E-14 2.88E-12 0
36 0.7 0.05 5E-14 4.38E-12 0
37 0.72 0.05 2.5E-13 -5.5E-13 0
38 0.74 0.05 2.8E-13 2.21E-12 0
39 0.76 0.05 4.7E-13 2.94E-12 0
40 0.78 0.05 6.2E-13 2.78E-12 0
41 0.8 0.05 1.05E-12 3.71E-12 0
42 0.82 0.05 1.73E-12 3.09E-12 0
43 0.84 0.05 3.84E-12 3.61E-12 0
44 0.86 0.05 7.72E-12 4.05E-12 0
45 0.88 0.05 1.578E-11 3.72E-12 0
46 0.9 0.05 3.265E-11 4.05E-12 0
47 0.92 0.05 6.737E-11 2.08E-12 0
48 0.94 0.05 1.3974E-10 2.27E-12 0
49 0.96 0.05 2.9002E-10 2.82E-12 0
50 0.98 0.05 5.9881E-10 2.42E-12 0
51 1 0.05 1.24044E-09 3.25E-12 0
52 1.02 0.05 2.56277E-09 5.49E-12 0
53 1.04 0.05 5.24758E-09 3.82E-12 0
54 1.06 0.05 1.060806E-08 3.91E-12 0
55 1.08 0.05 2.07781E-08 2.98E-12 0
56 1.1 0.05 4.01292E-08 5.1E-12 0
57 1.12 0.05 7.44536E-08 3.44E-12 0
58 1.14 0.05 1.3121E-07 3.49E-12 0
59 1.16 0.05 2.19676E-07 3.5E-12 0
60 1.18 0.05 3.46181E-07 3.26E-12 0
61 1.2 0.05 5.12292E-07 5.48E-12 0
62 1.22 0.05 7.14882E-07 4.86E-12 0
63 1.24 0.05 9.46936E-07 5.56E-12 0
64 1.26 0.05 1.20042E-06 2.94E-12 0
65 1.28 0.05 1.4732E-06 5.79E-12 0
66 1.3 0.05 1.75585E-06 4.95E-12 0
67 1.32 0.05 2.04695E-06 4.31E-12 0
68 1.34 0.05 2.3426E-06 4.62E-12 0
69 1.36 0.05 2.64041E-06 6.28E-12 0
70 1.38 0.05 2.93846E-06 4.33E-12 0
71 1.4 0.05 3.23753E-06 4.84E-12 0
72 1.42 0.05 3.53619E-06 4.84E-12 0
73 1.44 0.05 3.83381E-06 5.92E-12 0
74 1.46 0.05 4.12914E-06 4.2E-12 0
75 1.48 0.05 4.42384E-06 5.87E-12 0
76 1.5 0.05 4.71712E-06 4.5E-12 0
77 1.52 0.05 5.00835E-06 7.02E-12 0
78 1.54 0.05 5.29621E-06 4.19E-12 0
79 1.56 0.05 5.58326E-06 5.44E-12 0
80 1.58 0.05 5.86804E-06 5.68E-12 0
81 1.6 0.05 6.15039E-06 7.27E-12 0
82 1.62 0.05 6.42879E-06 4.27E-12 0
83 1.64 0.05 6.70562E-06 6.4E-12 0
84 1.66 0.05 6.97947E-06 6.96E-12 0
85 1.68 0.05 7.24883E-06 5.88E-12 0
86 1.7 0.05 7.51576E-06 5.53E-12 0
87 1.72 0.05 7.77886E-06 7.95E-12 0
88 1.74 0.05 8.03789E-06 7.19E-12 0
89 1.76 0.05 8.29123E-06 6.86E-12 0
90 1.78 0.05 8.5418E-06 7.63E-12 0
91 1.8 0.05 8.78692E-06 9.37E-12 0
92 1.82 0.05 9.02715E-06 8.56E-12 0
93 1.84 0.05 9.26016E-06 9.81E-12 0
94 1.86 0.05 9.48925E-06 9.9E-12 0
95 1.88 0.05 9.71178E-06 1.161E-11 0
96 1.9 0.05 9.92784E-06 1.164E-11 0
97 1.92 0.05 1.013546E-05 1.294E-11 0
98 1.94 0.05 1.033795E-05 1.409E-11 0
