FET Vds-Id
VG= 0 to -2 in -0.02 step
VDS= -0.05 to -0.5 in -0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 -0.05 -1.2E-12 6.2E-13 0
2 -0.02 -0.05 -1.11E-12 -3.47E-12 0
3 -0.04 -0.05 -1.27E-12 -4.3E-12 0
4 -0.06 -0.05 -1.25E-12 -4.47E-12 0
5 -0.08 -0.05 -1.1E-12 -4.09E-12 0
6 -0.1 -0.05 -1.13E-12 -5.24E-12 0
7 -0.12 -0.05 -1.02E-12 -5.39E-12 0
8 -0.14 -0.05 -1.07E-12 -5.99E-12 0
9 -0.16 -0.05 -1.01E-12 -5.76E-12 0
10 -0.18 -0.05 -9.6E-13 -5.99E-12 0
11 -0.2 -0.05 -1E-12 -5.4E-12 0
12 -0.22 -0.05 -1.03E-12 -6.69E-12 0
13 -0.24 -0.05 -1.08E-12 -5.67E-12 0
14 -0.26 -0.05 -1.16E-12 -6.37E-12 0
15 -0.28 -0.05 -1.06E-12 -6.2E-12 0
16 -0.3 -0.05 -1.02E-12 -7.19E-12 0
17 -0.32 -0.05 -1E-12 -5.89E-12 0
18 -0.34 -0.05 -1E-12 -7.05E-12 0
19 -0.36 -0.05 -8.7E-13 -5.95E-12 0
20 -0.38 -0.05 -9E-13 -7.36E-12 0
21 -0.4 -0.05 -8.2E-13 -6.07E-12 0
22 -0.42 -0.05 -8.3E-13 -6.88E-12 0
23 -0.44 -0.05 -7.4E-13 -6.02E-12 0
24 -0.46 -0.05 -7.2E-13 -6.71E-12 0
25 -0.48 -0.05 -7.8E-13 -6.61E-12 0
26 -0.5 -0.05 -7.7E-13 -7.8E-12 0
27 -0.52 -0.05 -7.9E-13 -6.74E-12 0
28 -0.54 -0.05 -8E-13 -7.65E-12 0
29 -0.56 -0.05 -6.9E-13 -6.58E-12 0
30 -0.58 -0.05 -6.8E-13 -7.41E-12 0
31 -0.6 -0.05 -7.3E-13 -6.7E-12 0
32 -0.62 -0.05 -7.4E-13 -7.36E-12 0
33 -0.64 -0.05 -6.7E-13 -6.9E-12 0
34 -0.66 -0.05 -6.8E-13 -7.82E-12 0
35 -0.68 -0.05 -8.1E-13 -7.13E-12 0
36 -0.7 -0.05 -7.9E-13 -7.43E-12 0
37 -0.72 -0.05 -8.9E-13 -6.59E-12 0
