FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
1 0 0 0 -8E-14 1.3E-13 1E-14 -2E-14 0
2 0 -0.05 0 -6.6E-13 4.9E-13 -6E-14 3.7E-13 0
3 0 -0.1 0 -7.2E-13 -1.2E-13 -9.3E-13 4E-13 0
4 0 -0.15 0 -6.8E-13 1.8E-13 -9E-14 4.3E-13 0
5 0 -0.2 0 -5.2E-13 4E-13 2.9E-13 4.9E-13 0
6 0 -0.25 0 -6.3E-13 2.8E-13 1E-13 5.1E-13 0
7 0 -0.3 0 -6.6E-13 1E-14 1.3E-13 4.6E-13 0
8 0 -0.35 0 -6.6E-13 -1.1E-13 -1.6E-13 5.1E-13 0
9 0 -0.4 0 -6.8E-13 0 8E-14 5.3E-13 0
10 0 -0.45 0 -6.6E-13 7E-14 1.8E-13 5.9E-13 0
11 0 -0.5 0 -7.9E-13 1.7E-13 3.9E-13 5.8E-13 0
12 0 -0.55 0 -7.6E-13 -2E-14 -8E-14 6.2E-13 0
13 0 -0.6 0 -8.6E-13 2.2E-13 1.6E-13 5.7E-13 0
14 0 -0.65 0 -7.8E-13 -4E-14 2.6E-13 6.6E-13 0
15 0 -0.7 0 -6.3E-13 8.3E-13 1.02E-12 7.2E-13 0
16 0 -0.75 0 -1.05E-12 4.4E-13 4.2E-13 6.3E-13 0
17 0 -0.8 0 -8.2E-13 2.79E-12 2.67E-12 6.4E-13 0
18 0 -0.85 0 -9.7E-13 -1.4E-12 -5.5E-13 5.1E-13 0
19 0 -0.9 0 -1.27E-12 -2.1E-13 -2.3E-13 8.4E-13 0
20 0 -0.95 0 -1.03E-12 -2.8E-13 -3.4E-13 9.6E-13 0
21 0 -1 0 -1.17E-12 7.6E-13 9.1E-13 1.08E-12 0
22 0 -1.05 0 -1.46E-12 -4.9E-13 -5E-13 1.13E-12 0
23 0 -1.1 0 -1.63E-12 6.7E-13 6.3E-13 1.25E-12 0
24 0 -1.15 0 -1.67E-12 -8.2E-13 -5.3E-13 1.45E-12 0
25 0 -1.2 0 -1.91E-12 6.6E-13 8.1E-13 1.57E-12 0
26 0 -1.25 0 -2.07E-12 -6.2E-13 -5.4E-13 1.85E-12 0
27 0 -1.3 0 -2.32E-12 1.04E-12 1.11E-12 2.11E-12 0
28 0 -1.35 0 -2.59E-12 -4.3E-13 -6.6E-13 2.33E-12 0
29 0 -1.4 0 -2.85E-12 1.38E-12 1.4E-12 2.66E-12 0
30 0 -1.45 0 -3.11E-12 -8.7E-13 -6.1E-13 2.85E-12 0
31 0 -1.5 0 -3.61E-12 7.8E-13 6E-13 3.25E-12 0
32 0 -1.55 0 -4.05E-12 -1.25E-12 -9.5E-13 3.68E-12 0
33 0 -1.6 0 -4.48E-12 1.36E-12 1.2E-12 4.12E-12 0
34 0 -1.65 0 -4.91E-12 -1.2E-12 -8.3E-13 4.66E-12 0
35 0 -1.7 0 -5.51E-12 1.31E-12 1.13E-12 5.24E-12 0
36 0 -1.75 0 -6.19E-12 -1.21E-12 -8.7E-13 5.89E-12 0
37 0 -1.8 0 -6.96E-12 1.43E-12 1.49E-12 6.59E-12 0
38 0 -1.85 0 -7.66E-12 -1.28E-12 -1.19E-12 7.45E-12 0
39 0 -1.9 0 -8.3E-12 3.5E-12 3.42E-12 8.53E-12 0
40 0 -1.95 0 -8.76E-12 3.1E-12 2.91E-12 9.71E-12 0
41 0 -2 0 -1.046E-11 1.96E-12 3.2E-12 1.017E-11 0
42 0 -2 0 -1.112E-11 -1.8E-13 5.2E-13 1.035E-11 0
43 0 -1.95 0 -9.77E-12 -2.02E-12 -1.84E-12 9.23E-12 0
44 0 -1.9 0 -8.59E-12 5.3E-13 1.19E-12 8.29E-12 0
45 0 -1.85 0 -7.69E-12 -1.56E-12 -1.58E-12 7.42E-12 0
46 0 -1.8 0 -6.78E-12 1.36E-12 1.38E-12 6.58E-12 0
47 0 -1.75 0 -6.12E-12 -1.9E-12 -1.79E-12 5.86E-12 0
48 0 -1.7 0 -5.37E-12 1.42E-12 1.39E-12 5.26E-12 0
49 0 -1.65 0 -4.91E-12 -1.69E-12 -1.47E-12 4.51E-12 0
50 0 -1.6 0 -4.3E-12 9.8E-13 1.45E-12 4.16E-12 0
51 0 -1.55 0 -3.83E-12 -1.63E-12 -1.66E-12 3.7E-12 0
52 0 -1.5 0 -3.36E-12 1.59E-12 1.47E-12 3.26E-12 0
53 0 -1.45 0 -3.06E-12 -1.29E-12 -1.43E-12 2.9E-12 0
