FET Vds-Id
VG= 0 to 2 in 0.02 step
VDS= 0.05 to 0.5 in 0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 0 0.05 3.122E-11 -3.07E-12 0
2 0.02 0.05 3.981E-11 5.25E-12 0
3 0.04 0.05 5.144E-11 3.86E-12 0
4 0.06 0.05 6.731E-11 6.28E-12 0
5 0.08 0.05 8.935E-11 3.04E-12 0
6 0.1 0.05 1.2153E-10 8.88E-12 0
7 0.12 0.05 1.6979E-10 6.49E-12 0
8 0.14 0.05 2.4343E-10 9.8E-12 0
9 0.16 0.05 3.5546E-10 8.35E-12 0
10 0.18 0.05 5.1447E-10 4.87E-12 0
11 0.2 0.05 7.7852E-10 4.25E-12 0
12 0.22 0.05 1.16519E-09 5.89E-12 0
13 0.24 0.05 1.73753E-09 1.275E-11 0
14 0.26 0.05 2.54915E-09 8.29E-12 0
15 0.28 0.05 3.6884E-09 1.012E-11 0
16 0.3 0.05 5.27133E-09 8.46E-12 0
17 0.32 0.05 7.43475E-09 1.414E-11 0
18 0.34 0.05 1.033089E-08 7.11E-12 0
19 0.36 0.05 1.37295E-08 8.47E-12 0
20 0.38 0.05 1.8841E-08 6.97E-12 0
21 0.4 0.05 2.52177E-08 9.85E-12 0
22 0.42 0.05 3.31821E-08 9.26E-12 0
23 0.44 0.05 4.30082E-08 1.426E-11 0
24 0.46 0.05 5.5087E-08 8.65E-12 0
25 0.48 0.05 6.96365E-08 1.42E-11 0
26 0.5 0.05 8.70381E-08 1.32E-11 0
27 0.52 0.05 1.07608E-07 1.581E-11 0
28 0.54 0.05 1.29336E-07 1.205E-11 0
29 0.56 0.05 1.58332E-07 9.68E-12 0
30 0.58 0.05 1.9053E-07 1.677E-11 0
31 0.6 0.05 2.26889E-07 1.635E-11 0
32 0.62 0.05 2.67455E-07 1.775E-11 0
33 0.64 0.05 3.13002E-07 1.581E-11 0
34 0.66 0.05 3.63444E-07 2.119E-11 0
35 0.68 0.05 4.18999E-07 1.936E-11 0
36 0.7 0.05 4.79661E-07 2.328E-11 0
37 0.72 0.05 5.46044E-07 1.921E-11 0
38 0.74 0.05 6.17861E-07 2.933E-11 0
39 0.76 0.05 6.95529E-07 2.512E-11 0
40 0.78 0.05 7.78769E-07 2.966E-11 0
41 0.8 0.05 8.67145E-07 3.014E-11 0
42 0.82 0.05 9.61936E-07 3.868E-11 0
43 0.84 0.05 1.06246E-06 3.762E-11 0
44 0.86 0.05 1.15792E-06 3.952E-11 0
45 0.88 0.05 1.27394E-06 4.888E-11 0
46 0.9 0.05 1.39254E-06 6.08E-11 0
47 0.92 0.05 1.51565E-06 6.231E-11 0
48 0.94 0.05 1.64356E-06 7.748E-11 0
49 0.96 0.05 1.77686E-06 8.648E-11 0
50 0.98 0.05 1.91557E-06 1.0299E-10 0
51 1 0.05 2.05926E-06 1.1449E-10 0
52 1.02 0.05 2.20707E-06 1.3476E-10 0
53 1.04 0.05 2.36018E-06 1.5363E-10 0
54 1.06 0.05 2.51799E-06 1.7987E-10 0
55 1.08 0.05 2.67993E-06 2.0055E-10 0
56 1.1 0.05 2.84556E-06 2.378E-10 0
57 1.12 0.05 3.01568E-06 2.7092E-10 0
58 1.14 0.05 3.18947E-06 3.1147E-10 0
59 1.16 0.05 3.36597E-06 3.5258E-10 0
60 1.18 0.05 3.54541E-06 4.1182E-10 0
61 1.2 0.05 3.72768E-06 4.6702E-10 0
62 1.22 0.05 3.91263E-06 5.3408E-10 0
63 1.24 0.05 4.09974E-06 6.0657E-10 0
64 1.26 0.05 4.28712E-06 6.9453E-10 0
65 1.28 0.05 4.47576E-06 7.8342E-10 0
66 1.3 0.05 4.66636E-06 8.8875E-10 0
67 1.32 0.05 4.8556E-06 1.00319E-09 0
68 1.34 0.05 5.04674E-06 1.12893E-09 0
69 1.36 0.05 5.23518E-06 1.27659E-09 0
70 1.38 0.05 5.42605E-06 1.43207E-09 0
71 1.4 0.05 5.61404E-06 1.61155E-09 0
72 1.42 0.05 5.80278E-06 1.80488E-09 0
73 1.44 0.05 5.98986E-06 2.02035E-09 0
74 1.46 0.05 6.17578E-06 2.25408E-09 0
75 1.48 0.05 6.35842E-06 2.51371E-09 0
76 1.5 0.05 6.54039E-06 2.79979E-09 0
77 1.52 0.05 6.72003E-06 3.10403E-09 0
78 1.54 0.05 6.8975E-06 3.44787E-09 0
79 1.56 0.05 7.07178E-06 3.81604E-09 0
80 1.58 0.05 7.24443E-06 4.22096E-09 0
81 1.6 0.05 7.41436E-06 4.65381E-09 0
82 1.62 0.05 7.56746E-06 4.99393E-09 0
83 1.64 0.05 7.71812E-06 5.55654E-09 0
84 1.66 0.05 7.87568E-06 5.9909E-09 0
85 1.68 0.05 8.01516E-06 6.53133E-09 0
86 1.7 0.05 8.15952E-06 7.12382E-09 0
87 1.72 0.05 8.31463E-06 7.91185E-09 0
88 1.74 0.05 8.46742E-06 8.5965E-09 0
89 1.76 0.05 8.64493E-06 9.5264E-09 0
90 1.78 0.05 8.80462E-06 1.05092E-08 0
91 1.8 0.05 8.95979E-06 1.15235E-08 0
92 1.82 0.05 9.10627E-06 1.26081E-08 0
93 1.84 0.05 9.24812E-06 1.37587E-08 0
94 1.86 0.05 9.38403E-06 1.49745E-08 0
95 1.88 0.05 9.51596E-06 1.627E-08 0
96 1.9 0.05 9.64381E-06 1.76629E-08 0
97 1.92 0.05 9.76712E-06 1.91382E-08 0
98 1.94 0.05 9.88557E-06 2.06994E-08 0
99 1.96 0.05 1.000114E-05 2.23806E-08 0
100 1.98 0.05 1.011327E-05 2.41794E-08 0
101 2 0.05 1.022085E-05 2.60861E-08 0
102 2 0.05 1.014467E-05 2.54812E-08 0
103 1.98 0.05 9.91178E-06 2.26519E-08 0
