FET Vds-Id
VG= -2 to 4 in 0.02 step
VDS= 0.05 to 0.5 in 0.45 step
NO. VG VDS ID IG VSUB
 V V A A V
1 -2 0.05 1.12731E-07 -1.2397E-10 0
2 -1.98 0.05 9.09286E-08 -8.159E-11 0
3 -1.96 0.05 7.71329E-08 -5.193E-11 0
4 -1.94 0.05 6.4974E-08 -4.572E-11 0
5 -1.92 0.05 5.49029E-08 -3.045E-11 0
6 -1.9 0.05 4.61603E-08 -3.229E-11 0
7 -1.88 0.05 3.82076E-08 -1.78E-11 0
8 -1.86 0.05 3.16543E-08 -2.255E-11 0
9 -1.84 0.05 2.58187E-08 -1.386E-11 0
10 -1.82 0.05 2.10378E-08 -1.677E-11 0
11 -1.8 0.05 1.68025E-08 -6.89E-12 0
12 -1.78 0.05 1.34158E-08 -1.366E-11 0
13 -1.76 0.05 1.05209E-08 -5.64E-12 0
14 -1.74 0.05 8.31205E-09 -6.29E-12 0
15 -1.72 0.05 6.38329E-09 -1.065E-11 0
16 -1.7 0.05 4.92908E-09 -3.1E-13 0
17 -1.68 0.05 3.7836E-09 -9.3E-12 0
18 -1.66 0.05 2.86239E-09 -1.68E-12 0
19 -1.64 0.05 2.1862E-09 -7E-12 0
20 -1.62 0.05 1.65235E-09 1.57E-12 0
21 -1.6 0.05 1.25708E-09 -7.4E-12 0
22 -1.58 0.05 9.5767E-10 1.78E-12 0
23 -1.56 0.05 7.3632E-10 2.45E-12 0
24 -1.54 0.05 5.6839E-10 3.76E-12 0
25 -1.52 0.05 4.431E-10 3.46E-12 0
26 -1.5 0.05 3.5194E-10 3.94E-12 0
27 -1.48 0.05 2.7948E-10 2.17E-12 0
28 -1.46 0.05 2.2656E-10 2.06E-12 0
29 -1.44 0.05 1.8178E-10 5.21E-12 0
30 -1.42 0.05 1.4972E-10 -5.43E-12 0
31 -1.4 0.05 1.2338E-10 3.7E-12 0
32 -1.38 0.05 1.0301E-10 -3.22E-12 0
33 -1.36 0.05 8.611E-11 5.36E-12 0
34 -1.34 0.05 7.768E-11 2.441E-11 0
35 -1.32 0.05 6.134E-11 5.08E-12 0
36 -1.3 0.05 5.154E-11 -2.68E-12 0
37 -1.28 0.05 4.388E-11 4.92E-12 0
38 -1.26 0.05 3.726E-11 2.41E-12 0
39 -1.24 0.05 3.194E-11 -3.92E-12 0
40 -1.22 0.05 2.736E-11 4.28E-12 0
41 -1.2 0.05 2.378E-11 -4.4E-12 0
42 -1.18 0.05 2.083E-11 6.57E-12 0
43 -1.16 0.05 1.822E-11 -5.4E-13 0
44 -1.14 0.05 1.583E-11 6.77E-12 0
45 -1.12 0.05 1.39E-11 -1.73E-12 0
46 -1.1 0.05 1.211E-11 7.03E-12 0
47 -1.08 0.05 1.08E-11 3.3E-13 0
48 -1.06 0.05 9.57E-12 7.36E-12 0
49 -1.04 0.05 8.37E-12 -1.52E-12 0
50 -1.02 0.05 7.64E-12 7.59E-12 0
51 -1 0.05 6.47E-12 -1.12E-12 0
52 -0.98 0.05 5.93E-12 8.51E-12 0
53 -0.96 0.05 5.55E-12 -1.8E-13 0
54 -0.94 0.05 4.92E-12 7.62E-12 0
55 -0.92 0.05 4.46E-12 4.5E-13 0
56 -0.9 0.05 4.19E-12 9.86E-12 0
57 -0.88 0.05 3.69E-12 1.96E-12 0
58 -0.86 0.05 3.47E-12 9.54E-12 0
59 -0.84 0.05 3.03E-12 1.09E-12 0
60 -0.82 0.05 2.95E-12 1.054E-11 0
61 -0.8 0.05 3.11E-12 3.57E-12 0
62 -0.78 0.05 3.25E-12 1.13E-11 0
63 -0.76 0.05 2.97E-12 3.67E-12 0
64 -0.74 0.05 2.9E-12 1.313E-11 0
65 -0.72 0.05 2.84E-12 5.17E-12 0
66 -0.7 0.05 2.76E-12 1.224E-11 0
67 -0.68 0.05 2.82E-12 3.87E-12 0
68 -0.66 0.05 3.11E-12 1.38E-11 0
69 -0.64 0.05 3.11E-12 7.64E-12 0
70 -0.62 0.05 3.52E-12 1.535E-11 0
71 -0.6 0.05 3.83E-12 5.73E-12 0
72 -0.58 0.05 4.17E-12 1.434E-11 0
73 -0.56 0.05 4.81E-12 7.83E-12 0
74 -0.54 0.05 5.36E-12 1.692E-11 0
75 -0.52 0.05 6.1E-12 8.86E-12 0
76 -0.5 0.05 7.31E-12 1.609E-11 0
77 -0.48 0.05 8.7E-12 9.9E-12 0
78 -0.46 0.05 1.048E-11 1.946E-11 0
79 -0.44 0.05 1.262E-11 1.079E-11 0
80 -0.42 0.05 1.547E-11 1.809E-11 0
81 -0.4 0.05 1.884E-11 1.111E-11 0
82 -0.38 0.05 2.321E-11 2.085E-11 0
83 -0.36 0.05 2.897E-11 1.385E-11 0
84 -0.34 0.05 3.589E-11 2E-11 0
85 -0.32 0.05 4.513E-11 1.217E-11 0
86 -0.3 0.05 5.7E-11 2.083E-11 0
